,Input,Final_Output
68,"Schwartz, A.L.; Meek, P.M.; Nail, L.M.; Fargo, J.; Lundquist, M.; Donofrio, M.; Grainger, M.; Throckmorton, T.; Mateo, M. Measurement of fatigue. determining minimally important clinical differences. J. Clin. Epidemiol. 2002, 55, 239–244.","{""author"": ""A.L. Schwartz, P.M. Meek, L.M. Nail, J. Fargo, M. Lundquist, M. Donofrio, M. Grainger, T. Throckmorton, M. Mateo"", ""journalName"": ""J. Clin. Epidemiol."", ""year"": 2002}"
69,"Simasundaram, R.O.; Devamani, K.A. A Comparative Study on Resilience, Perceived Social Support and Hopelessness Among Cancer Patients Treated with Curative and Palliative Care. Indian. J. Palliat. Care 2016, 2, 135–140.","{""author"": ""R.O. Simasundaram, K.A. Devamani"", ""journalName"": ""Indian. J. Palliat. Care"", ""year"": 2016}"
70,"Eicher, M.; Matzka, M.; Dubey, C.; White, K. Resilience in adult cancer care: An integrative literature review. Oncol. Nurs. Forum. 2015, 42, E3–E16.","{""author"": ""M. Eicher, M. Matzka, C. Dubey, K. White"", ""journalName"": ""Oncol. Nurs. Forum."", ""year"": 2015}"
71,"Bonanno, G.A.; Westphal, M.; Mancini, A.D. Resilience to loss and potential trauma. Annu. Rev. Clin. Psychol. 2011, 7, 511–535.","{""author"": ""G.A. Bonanno, M. Westphal, A.D. Mancini"", ""journalName"": ""Annu. Rev. Clin. Psychol."", ""year"": 2011}"
72,"Champion, V.L.; Wagner, L.I.; Monahan, P.O.; Daggy, J.; Smith, L.; Cohee, A.; Ziner, K.W.; Haase, J.E.; Miller, K.D.; Pradhan, K.; et al. Comparison of younger and older breast cancer survivors and age-matched controls on specific overall quality of life domains. Cancer 2014, 120, 2237–2246.","{""author"": ""V.L. Champion, L.I. Wagner, P.O. Monahan, J. Daggy, L. Smith, A. Cohee, K.W. Ziner, J.E. Haase, K.D. Miller, K. Pradhan"", ""journalName"": ""Cancer"", ""year"": 2014}"
73,"Naik, H.; Leung, B.; Laskin, J.; McDonald, M.; Srikanthan, A.; Wu, J.; Bates, A.; Ho, C. Emotional distress and psychosocial needs in patients with breast cancer in British Columbia: Younger versus older adults. Breast Cancer Res. Treat. 2020, 179, 471–477.","{""author"": ""H. Naik, B. Leung, J. Laskin, M. McDonald, A. Srikanthan, J. Wu, A. Bates, C. Ho"", ""journalName"": ""Breast Cancer Res. Treat."", ""year"": 2020}"
74,"Padilla-Ruiz, M.; Ruiz-Román, C.; Pérez-Ruiz, E.; Rueda, A.; Redondo, M.; Rivas-Ruiz, F. Clinical and sociodemographic factors that may influence the resilience of women surviving breast cancer: Cross-sectional study. Support. Care Cancer 2019, 27, 1279–1286.","{""author"": ""M. Padilla-Ruiz, C. Ruiz-Rom\u00e1n, E. P\u00e9rez-Ruiz, A. Rueda, M. Redondo, F. Rivas-Ruiz"", ""journalName"": ""Support. Care Cancer"", ""year"": 2019}"
75,"Smith, S.K.; Herndon, J.E.; Lyerly, H.K.; Coan, A.; Wheeler, J.L.; Staley, T.; Abernethy, A.P. Correlates of quality of life-related outcomes in breast cancer patients participating in the Pathfinders pilot study. Psychooncology 2011, 20, 559–564.","{""author"": ""S.K. Smith, J.E. Herndon, H.K. Lyerly, A. Coan, J.L. Wheeler, T. Staley, A.P. Abernethy"", ""journalName"": ""Psychooncology"", ""year"": 2011}"
76,"Koopman, C.; Angell, K.; Turner-Cobb, J.M.; Kreshka, M.A.; Donnelly, P.; McCoy, R.; Turkseven, A.; Graddy, K.; Giese-Davis, J.; Spiegel, D. Distress, coping, and social support among rural women recently diagnosed with primary breast cancer. Breast J. 2001, 7, 25–33.","{""author"": ""C. Koopman, K. Angell, J.M. Turner-Cobb, M.A. Kreshka, P. Donnelly, R. McCoy, A. Turkseven, K. Graddy, J. Giese-Davis, D. Spiegel"", ""journalName"": ""Breast J."", ""year"": 2001}"
77,"Yoo, G.J.; Levine, E.G.; Aviv, C.; Ewing, C.; Au, A. Older women, breast cancer, and social support. Support. Care Cancer 2010, 18, 1521–1530.","{""author"": ""G.J. Yoo, E.G. Levine, C. Aviv, C. Ewing, A. Au"", ""journalName"": ""Support. Care Cancer"", ""year"": 2010}"
78,"Strauss, B.; Brix, C.; Fischer, S.; Leppert, K.; Füller, J.; Roehrig, B.; Schleussner, C.; Wendt, T.G. The influence of resilience on fatigue in cancer patients undergoing radiation therapy (RT). J. Cancer Res. Clin. Oncol. 2007, 133, 511–518.","{""author"": ""B. Strauss, C. Brix, S. Fischer, K. Leppert, J. F\u00fcller, B. Roehrig, C. Schleussner, T.G. Wendt"", ""journalName"": ""J. Cancer Res. Clin. Oncol."", ""year"": 2007}"
79,"Wenzel, L.B.; Donnelly, J.P.; Fowler, J.M.; Habbal, R.; Taylor, T.H.; Aziz, N.; Cella, D. Resilience, reflection, and residual stress in ovarian cancer survivorship: A gynecologic oncology group study. Psychooncology 2002, 11, 142–153.","{""author"": ""L.B. Wenzel, J.P. Donnelly, J.M. Fowler, R. Habbal, T.H. Taylor, N. Aziz, D. Cella"", ""journalName"": ""Psychooncology"", ""year"": 2002}"
80,"Min, J.A.; Yoon, S.; Lee, C.U.; Chae, J.H.; Lee, C.; Song, K.Y.; Kim, T.S. Psychological resilience contributes to low emotional distress in cancer patients. Support. Care Cancer 2013, 21, 2469–2476","{""author"": ""J.A. Min, S. Yoon, C.U. Lee, J.H. Chae, C. Lee, K.Y. Song, T.S. Kim"", ""journalName"": ""Support. Care Cancer"", ""year"": 2013}"
81,"Zhang, H.; Zhao, Q.; Cao, P.; Ren, G. Resilience and Quality of Life: Exploring the Mediator Role of Social Support in Patients with Breast Cancer. Med. Sci. Monit. 2017, 23, 5969–5979.","{""author"": ""H. Zhang, Q. Zhao, P. Cao, G. Ren"", ""journalName"": ""Med. Sci. Monit."", ""year"": 2017}"
82,"Fisher, H.M.; Winger, J.G.; Miller, S.N.; Wright, A.N.; Plumb Vilardaga, J.C.; Majestic, C.; Kelleher, S.A.; Somers, T.J. Relationship between social support, physical symptoms, and depression in women with breast cancer and pain. Support. Care Cancer 2021, 29, 5513–5521.","{""author"": ""H.M. Fisher, J.G. Winger, S.N. Miller, A.N. Wright, J.C. Plumb Vilardaga, C. Majestic, S.A. Kelleher, T.J. Somers"", ""journalName"": ""Support. Care Cancer"", ""year"": 2021}"
83,"Bloom, J.R.; Stewart, S.L.; Johnston, M.; Banks, P.; Fobair, P. Sources of social Support and the physical and mental well-being of young women with breast cancer. Soc. Sci. Med. 2001, 53, 1513–1524.","{""author"": ""J.R. Bloom, S.L. Stewart, M. Johnston, P. Banks, P. Fobair"", ""journalName"": ""Soc. Sci. Med."", ""year"": 2001}"
84,"Yılmaz, S.D.; Bal, M.D.; Beji, N.K.; Arvas, M. Ways of coping with stress and perceived social support in gynecologic cancer patients. Cancer Nurs. 2015, 38, E57–E62.","{""author"": ""S.D. Y\u0131lmaz, M.D. Bal, N.K. Beji, M. Arvas"", ""journalName"": ""Cancer Nurs."", ""year"": 2015}"
85,"Matchim, Y.; Armer, J.M.; Stewart, B.R. Mindfulness-based stress reduction among breast cancer survivors: A literature review and discussion. Oncol. Nurs. Forum. 2011, 38, E61–E71.","{""author"": ""Y. Matchim, J.M. Armer, B.R. Stewart"", ""journalName"": ""Oncol. Nurs. Forum."", ""year"": 2011}"
86,"Costa-Requena, G.; Ballester Arnal, R.; Gil, F. Perceived social support in Spanish cancer outpatients with psychiatric disorder. Stress. Health 2013, 29, 421–426","{""author"": ""G. Costa-Requena, R. Ballester Arnal, F. Gil"", ""journalName"": ""Stress. Health"", ""year"": 2013}"
87,"Hopkins, B.S.; Yamaguchi, J.T.; Garcia, R.; Kesavabhotla, K.; Weiss, H.; Hsu, W.K.; Smith, Z.A.; Dahdaleh, N.S. Using machine learning to predict 30-day readmissions after posterior lumbar fusion: An NSQIP study involving 23,264 patients. J. Neurosurg. Spine 2019, 32, 399–406.","{""author"": ""B.S. Hopkins, J.T. Yamaguchi, R. Garcia, K. Kesavabhotla, H. Weiss, W.K. Hsu, Z.A. Smith, N.S. Dahdaleh"", ""journalName"": ""J. Neurosurg. Spine"", ""year"": 2019}"
88,"Karhade, A.V.; Ogink, P.; Thio, Q.; Broekman, M.; Cha, T.; Gormley, W.B.; Hershman, S.; Peul, W.C.; Bono, C.M.; Schwab, J.H. Development of machine learning algorithms for prediction of discharge disposition after elective inpatient surgery for lumbar degenerative disc disorders. Neurosurg. Focus 2018, 45, E6.","{""author"": ""A.V. Karhade, P. Ogink, Q. Thio, M. Broekman, T. Cha, W.B. Gormley, S. Hershman, W.C. Peul, C.M. Bono, J.H. Schwab"", ""journalName"": ""Neurosurg. Focus"", ""year"": 2018}"
89,"Ogink, P.T.; Karhade, A.V.; Thio, Q.C.B.S.; Hershman, S.H.; Cha, T.D.; Bono, C.M.; Schwab, J.H. Development of a machine learning algorithm predicting discharge placement after surgery for spondylolisthesis. Eur. Spine J. 2019, 28, 1775–1782.","{""author"": ""P.T. Ogink, A.V. Karhade, Q.C.B.S. Thio, S.H. Hershman, T.D. Cha, C.M. Bono, J.H. Schwab"", ""journalName"": ""Eur. Spine J."", ""year"": 2019}"
90,"Gowd,A.K.;O’Neill, C.N.; Barghi, A.; O’Gara, T.J.; Carmouche, J.J. Feasibility of Machine Learning in the Prediction of Short-Term Outcomes Following Anterior Cervical Discectomy and Fusion. World Neurosurg. 2022, 168, e223–e232.","{""author"": ""A.K. Gowd, C.N. O\u2019Neill, A. Barghi, T.J. O\u2019Gara, J.J. Carmouche"", ""journalName"": ""World Neurosurg."", ""year"": 2022}"
91,"Valliani, A.A.; Kim, N.C.; Martini, M.L.; Gal, J.S.; Neifert, S.N.; Feng, R.; Geng, E.A.; Kim, J.S.; Cho, S.K.; Oermann, E.K.; et al. Robust Prediction of Non-home Discharge After Thoracolumbar Spine Surgery With Ensemble Machine Learning and Validation on aNationwide Cohort. World Neurosurg. 2022, 165, e83–e91","{""author"": ""A.A. Valliani, N.C. Kim, M.L. Martini, J.S. Gal, S.N. Neifert, R. Feng, E.A. Geng, J.S. Kim, S.K. Cho, E.K. Oermann"", ""journalName"": ""World Neurosurg."", ""year"": 2022}"
92,"Shah, A.A.; Devana, S.K.; Lee, C.; Bugarin, A.; Lord, E.L.; Shamie, A.N.; Park, D.Y.; van der Schaar, M.; SooHoo, N.F. Prediction of Major Complications and Readmission After Lumbar Spinal Fusion: A Machine Learning–Driven Approach. World Neurosurg. 2021, 152, e227–e234.","{""author"": ""A.A. Shah, S.K. Devana, C. Lee, A. Bugarin, E.L. Lord, A.N. Shamie, D.Y. Park, M. van der Schaar, N.F. SooHoo"", ""journalName"": ""World Neurosurg."", ""year"": 2021}"
93,"Kuris, E.O.; Veeramani, A.; McDonald, C.L.; DiSilvestro, K.J.; Zhang, A.S.; Cohen, E.M.; Daniels, A.H. Predicting Readmission After Anterior, Posterior, and Posterior Interbody Lumbar Spinal Fusion: A Neural Network Machine Learning Approach. World Neurosurg. 2021, 151, e19–e27.","{""author"": ""E.O. Kuris, A. Veeramani, C.L. McDonald, K.J. DiSilvestro, A.S. Zhang, E.M. Cohen, A.H. Daniels"", ""journalName"": ""World Neurosurg."", ""year"": 2021}"
94,"Han,S.S.; Azad, T.D.; Suarez, P.A.; Ratliff, J.K. A machine learning approach for predictive models of adverse events following spine surgery. Spine J. 2019, 19, 1772–1781.","{""author"": ""S.S. Han, T.D. Azad, P.A. Suarez, J.K. Ratliff"", ""journalName"": ""Spine J."", ""year"": 2019}"
95,"Cabrera, A.; Bouterse, A.; Nelson, M.; Razzouk, J.; Ramos, O.; Chung, D.; Cheng, W.; Danisa, O. Use of random forest machine learning algorithm to predict short term outcomes following posterior cervical decompression with instrumented fusion. J. Clin. Neurosci. 2023, 107, 167–171.","{""author"": ""A. Cabrera, A. Bouterse, M. Nelson, J. Razzouk, O. Ramos, D. Chung, W. Cheng, O. Danisa"", ""journalName"": ""J. Clin. Neurosci."", ""year"": 2023}"
96,"Salazar, A.; Vergara, L.; Vidal, E. A proxy learning curve for the Bayes classifier. Pattern Recognit. 2023, 136, 109240.","{""author"": ""A. Salazar, L. Vergara, E. Vidal"", ""journalName"": ""Pattern Recognit."", ""year"": 2023}"
97,"Assel, M.; Sjoberg, D.D.; Vickers, A.J. The Brier score does not evaluate the clinical utility of diagnostic tests or prediction models. Diagn. Progn. Res. 2017, 1, 19","{""author"": ""M. Assel, D.D. Sjoberg, A.J. Vickers"", ""journalName"": ""Diagn. Progn. Res."", ""year"": 2017}"
98,"Huang, C.; Li, S.-X.; Caraballo, C.; Masoudi, F.A.; Rumsfeld, J.S.; Spertus, J.A.; Normand, S.-L.T.; Mortazavi, B.J.; Krumholz, H.M. Performance Metrics for the Comparative Analysis of Clinical Risk Prediction Models Employing Machine Learning. Circ. Cardiovasc. Qual. Outcomes 2021, 14, 1076–1086.","{""author"": ""C. Huang, S.-X. Li, C. Caraballo, F.A. Masoudi, J.S. Rumsfeld, J.A. Spertus, S.-L.T. Normand, B.J. Mortazavi, H.M. Krumholz"", ""journalName"": ""Circ. Cardiovasc. Qual. Outcomes"", ""year"": 2021}"
99,"Ruopp, M.D.; Perkins, N.J.; Whitcomb, B.W.; Schisterman, E.F. Youden Index and Optimal Cut-Point Estimated from Observations Affected by a Lower Limit of Detection. Biom. J. 2008, 50, 419–430.","{""author"": ""M.D. Ruopp, N.J. Perkins, B.W. Whitcomb, E.F. Schisterman"", ""journalName"": ""Biom. J."", ""year"": 2008}"
100,"Van Rijsbergen, C.J.; Van Rijsbergen, C.J.K. Information Retrieval, Butterworth-Heinemann. J. Librariansh. 1979, 11, 237.","{""author"": ""C.J. Van Rijsbergen"", ""journalName"": ""J. Librariansh."", ""year"": 1979}"
101,"Hong, C.S.; Oh, T.G. TPR-TNR plot for confusion matrix. Commun. Stat. Appl. Methods 2021, 28, 161–169.","{""author"": ""C.S. Hong, T.G. Oh"", ""journalName"": ""Commun. Stat. Appl. Methods"", ""year"": 2021}"
102,"Harris, E.P.; MacDonald, D.B.; Boland, L. Personalized perioperative medicine: A scoping review of personalized assessment and communication of risk before surgery. Can. J. 2019, 66, 1026–1037.","{""author"": ""E.P. Harris, D.B. MacDonald, L. Boland"", ""journalName"": ""Can. J."", ""year"": 2019}"
103,"Saravi, B.; Hassel, F.; Ülkümen, S.; Zink, A.; Shavlokhova, V.; Couillard-Despres, S.; Boeker, M.; Obid, P.; Lang, G. Artificial intelligence-driven prediction modeling and decision making in spine surgery using hybrid machine learning models. J. Pers. Med. 2022, 12, 509.","{""author"": ""B. Saravi, F. Hassel, S. \u00dclk\u00fcmen, A. Zink, V. Shavlokhova, S. Couillard-Despres, M. Boeker, P. Obid, G. Lang"", ""journalName"": ""J. Pers. Med."", ""year"": 2022}"
104,"LeCun, Y.; Bengio, Y.; Hinton, G. Deep learning. Nature 2015, 521, 436–444.","{""author"": ""Y. LeCun, Y. Bengio, G. Hinton"", ""journalName"": ""Nature"", ""year"": 2015}"
105,"El-Hajj, V.G.; Gharios, M.; Edström, E.; Elmi-Terander, A. Artificial Intelligence in Neurosurgery: A Bibliometric Analysis. World Neurosurg. 2023, 171, 152–158.e4.","{""author"": ""V.G. El-Hajj, M. Gharios, E. Edstr\u00f6m, A. Elmi-Terander"", ""journalName"": ""World Neurosurg."", ""year"": 2023}"
106,"Chang, M.; Canseco, J.A.; Nicholson, K.J.; Patel, N.; Vaccaro, A.R. The Role of Machine Learning in Spine Surgery: The Future Is Now. Front. Surg. 2020, 7, 54.","{""author"": ""M. Chang, J.A. Canseco, K.J. Nicholson, N. Patel, A.R. Vaccaro"", ""journalName"": ""Front. Surg."", ""year"": 2020}"
107,"Goyal, A.; Ngufor, C.; Kerezoudis, P.; McCutcheon, B.; Storlie, C.; Bydon, M. Can machine learning algorithms accurately predict discharge to nonhome facility and early unplanned readmissions following spinal fusion? Analysis of a national surgical registry. J. Neurosurg. Spine 2019, 31, 568–578.","{""author"": ""A. Goyal, C. Ngufor, P. Kerezoudis, B. McCutcheon, C. Storlie, M. Bydon"", ""journalName"": ""J. Neurosurg. Spine"", ""year"": 2019}"
108,"Stopa, B.M.; Robertson, F.C.; Karhade, A.V.; Chua, M.; Broekman, M.L.D.; Schwab, J.H.; Smith, T.R.; Gormley, W.B. Predicting nonroutine discharge after elective spine surgery: External validation of machine learning algorithms. J. Neurosurg. Spine 2019, 31, 742–747.","{""author"": ""B.M. Stopa, F.C. Robertson, A.V. Karhade, M. Chua, M.L.D. Broekman, J.H. Schwab, T.R. Smith, W.B. Gormley"", ""journalName"": ""J. Neurosurg. Spine"", ""year"": 2019}"
109,"Li, Q.; Zhong, H.; Girardi, F.P.; Poeran, J.; Wilson, L.A.; Memtsoudis, S.G.; Liu, J. Machine Learning Approaches to Define Candidates for Ambulatory Single Level Laminectomy Surgery. Glob. Spine J. 2022, 12, 1363–1368.","{""author"": ""Q. Li, H. Zhong, F.P. Girardi, J. Poeran, L.A. Wilson, S.G. Memtsoudis, J. Liu"", ""journalName"": ""Glob. Spine J."", ""year"": 2022}"
110,"Veeramani, A.; Zhang, A.S.; Blackburn, A.Z.; Etzel, C.M.; DiSilvestro, K.J.; McDonald, C.L.; Daniels, A.H. An Artificial Intelligence Approach to Predicting Unplanned Intubation Following Anterior Cervical Discectomy and Fusion. Glob. Spine J. 2022, 13, 1849–1855.","{""author"": ""A. Veeramani, A.S. Zhang, A.Z. Blackburn, C.M. Etzel, K.J. DiSilvestro, C.L. McDonald, A.H. Daniels"", ""journalName"": ""Glob. Spine J."", ""year"": 2022}"
111,"DiSilvestro, K.J.; Veeramani, A.; McDonald, C.L.; Zhang, A.S.; Kuris, E.O.; Durand, W.M.; Cohen, E.M.; Daniels, A.H. Predicting Postoperative Mortality After Metastatic Intraspinal Neoplasm Excision: Development of a Machine-Learning Approach. World Neurosurg. 2021, 146, e917–e924.","{""author"": ""K.J. DiSilvestro, A. Veeramani, C.L. McDonald, A.S. Zhang, E.O. Kuris, W.M. Durand, E.M. Cohen, A.H. Daniels"", ""journalName"": ""World Neurosurg."", ""year"": 2021}"
112,"Zhang, A.S.; Veeramani, A.; Quinn, M.S.; Alsoof, D.; Kuris, E.O.; Daniels, A.H. Machine Learning Prediction of Length of Stay in Adult Spinal Deformity Patients Undergoing Posterior Spine Fusion Surgery. J. Clin. Med. 2021, 10, 4074.","{""author"": ""A.S. Zhang, A. Veeramani, M.S. Quinn, D. Alsoof, E.O. Kuris, A.H. Daniels"", ""journalName"": ""J. Clin. Med."", ""year"": 2021}"
113,"Kim, J.S.; Merrill, R.K.; Arvind, V.; Kaji, D.; Pasik, S.D.; Nwachukwu, C.C.; Vargas, L.; Osman, N.S.; Oermann, E.K.; Caridi, J.M.; et al. Examining the Ability of Artificial Neural Networks Machine Learning Models to Accurately Predict Complications Following Posterior Lumbar Spine Fusion. Spine 2018, 43, 853–860.","{""author"": ""J.S. Kim, R.K. Merrill, V. Arvind, D. Kaji, S.D. Pasik, C.C. Nwachukwu, L. Vargas, N.S. Osman, E.K. Oermann, J.M. Caridi"", ""journalName"": ""Spine"", ""year"": 2018}"
114,"Arvind, V.; Kim, J.S.; Oermann, E.K.; Kaji, D.; Cho, S.K. Predicting Surgical Complications in Adult Patients Undergoing Anterior Cervical Discectomy and Fusion Using Machine Learning. Neurospine 2018, 15, 329–337.","{""author"": ""V. Arvind, J.S. Kim, E.K. Oermann, D. Kaji, S.K. Cho"", ""journalName"": ""Neurospine"", ""year"": 2018}"
115,"Arora, A.B.; Lituiev, D.; Jain, D.; Hadley, D.; Butte, A.J.; Berven, S.; Peterson, T.A. Predictive Models for Length of Stay and Discharge Disposition in Elective Spine Surgery: Development, Validation, and Comparison to the ACS NSQIP Risk Calculator. Spine 2023, 48, E1–E13.","{""author"": ""A.B. Arora, D. Lituiev, D. Jain, D. Hadley, A.J. Butte, S. Berven, T.A. Peterson"", ""journalName"": ""Spine"", ""year"": 2023}"
116,"Ogink, P.T.; Karhade, A.V.; Thio, Q.C.B.S.; Gormley, W.B.; Oner, F.C.; Verlaan, J.J.; Schwab, J.H. Predicting discharge placement after elective surgery for lumbar spinal stenosis using machine learning methods. Eur. Spine J. 2019, 28, 1433–1440.","{""author"": ""P.T. Ogink, A.V. Karhade, Q.C.B.S. Thio, W.B. Gormley, F.C. Oner, J.J. Verlaan, J.H. Schwab"", ""journalName"": ""Eur. Spine J."", ""year"": 2019}"
117,"Kim, J.S.; Arvind, V.; Oermann, E.K.; Kaji, D.; Ranson, W.; Ukogu, C.; Hussain, A.K.; Caridi, J.; Cho, S.K. Predicting Surgical Complications in Patients Undergoing Elective Adult Spinal Deformity Procedures Using Machine Learning. Spine Deform. 2018, 6, 762–770","{""author"": ""J.S. Kim, V. Arvind, E.K. Oermann, D. Kaji, W. Ranson, C. Ukogu, A.K. Hussain, J. Caridi, S.K. Cho"", ""journalName"": ""Spine Deform."", ""year"": 2018}"
118,"Zhang, Y.; Wan, D.; Chen, M.; Li, Y.; Ying, H.; Yao, G.; Liu, Z.; Zhang, G. Automated machine learning-based model for the prediction of delirium in patients after surgery for degenerative spinal disease. CNS Neurosci. Ther. 2023, 29, 282–295.","{""author"": ""Y. Zhang, D. Wan, M. Chen, Y. Li, H. Ying, G. Yao, Z. Liu, G. Zhang"", ""journalName"": ""CNS Neurosci. Ther."", ""year"": 2023}"
119,"Yang, B.; Gao, L.; Wang, X.; Wei, J.; Xia, B.; Liu, X.; Zheng, P. Application of supervised machine learning algorithms to predict the risk of hidden blood loss during the perioperative period in thoracolumbar burst fracture patients complicated with neurological compromise. Front. Public Health 2022, 10, 969919.","{""author"": ""B. Yang, L. Gao, X. Wang, J. Wei, B. Xia, X. Liu, P. Zheng"", ""journalName"": ""Front. Public Health"", ""year"": 2022}"
